lat,lng,alt,snr
-34.0641,18.6783,3953.9,30.6
-34.0642,18.6785,3958.4,30.6
-34.0643,18.6786,3963.3,28.5
-34.0644,18.6788,3968.2,26.2
-34.0646,18.6789,3973.3,25.7
-34.0648,18.6791,3977.3,29.1
-34.0649,18.6793,3980.5,29.1
-34.0651,18.6794,3984.3,29
-34.0652,18.6795,3988.3,28.3
-34.0654,18.6797,3993.4,28.3
-34.0655,18.6798,3999.7,28.7
-34.0657,18.68,4006.1,29.5
-34.0658,18.6801,4012,29.5
-34.066,18.6803,4017,29.1
-34.0661,18.6805,4021.7,29.1
-34.0662,18.6807,4026.6,28.3
-34.0664,18.6808,4030.9,27.5
-34.0665,18.681,4034.8,27.7
-34.0667,18.6812,4038.9,29.1
-34.0668,18.6814,4043.5,29.1
-34.067,18.6816,4048.3,28.5
-34.0671,18.6818,4053.4,28.7
-34.0673,18.6819,4058.2,29
-34.0674,18.6821,4063.1,29
-34.0676,18.6822,4068.8,28.4
-34.0677,18.6824,4074.6,28.2
-34.0679,18.6826,4080.3,28.2
-34.0681,18.6828,4085.4,26.4
-34.0682,18.683,4089.5,26.4
-34.0684,18.6831,4093.4,27.6
-34.0686,18.6833,4097.5,28.5
-34.0687,18.6835,4102,28.5
-34.0689,18.6836,4107.2,28.5
-34.0691,18.6838,4112.2,27.3
-34.0692,18.684,4116.6,27.4
-34.0694,18.6841,4120.8,27.4
-34.0696,18.6843,4125.2,26.2
-34.0698,18.6844,4129.9,26.4
-34.07,18.6846,4134.4,27.4
-34.0701,18.6847,4138.9,28.9
-34.0703,18.6849,4142.8,28.5
-34.0705,18.685,4147.4,28.5
-34.0706,18.6851,4151.7,28.1
-34.0708,18.6853,4155.4,28.2
-34.071,18.6854,4159.5,28
-34.0712,18.6856,4163.6,29
-34.0714,18.6858,4167.8,29
-34.0715,18.6859,4170.9,28.3
-34.0717,18.6861,4174.4,27.9
-34.0718,18.6863,4178.3,27.5
-34.072,18.6864,4181.6,25.2
-34.0722,18.6865,4184.9,27.7
-34.0724,18.6866,4188.3,27.7
-34.0726,18.6868,4192.1,26.8
-34.0727,18.6869,4195.2,26.5
-34.0729,18.6871,4198.3,28.3
-34.0731,18.6872,4201.9,28.3
-34.0733,18.6874,4205.1,28
-34.0734,18.6875,4208.8,28
-34.0736,18.6876,4213.2,27.9
-34.0738,18.6878,4217.4,27.4
-34.074,18.688,4221.8,27.4
-34.0741,18.6881,4226.9,27.9
